<?xml version="1.0" encoding="UTF-8"?>Key;Anzahl
4970;3
11987;1
3639;2
2306;16
4969;1
2303;1
4962;2
4961;1
11980;3
4964;8
4963;2
3632;1
11982;4
3635;1
4965;1
11984;1
4968;1
4967;14
11986;1
4980;1
4982;3
4981;2
21317;1
21316;1
11998;1
11999;2
4973;2
3642;3
11990;3
4972;3
3644;7
11992;1
3646;2
4977;2
3645;4
3647;7
4978;5
4991;1
4993;3
1000;3
2322;119
4983;1
4986;3
3657;1
4987;3
3658;4
2342;9
1007;12
11976;1
1008;1
2336;5
2337;1
2334;1
1001;1
3664;3
4994;2
4997;2
3666;1
3665;1
3668;23
3667;1
1009;1
3682;1
3683;4
2351;22
1016;2
1017;35
2348;35
1015;1
1012;2
2343;11
6701;1
3679;1
3690;3
3692;1
1032;1
1033;2
1031;4
6719;5
11956;1
11957;1
1025;38
11958;1
1026;10
3686;1
6710;1
3685;11
6714;1
11950;1
3689;7
6717;2
2372;2
1042;4
2373;10
1038;60
1039;2
11924;2
1036;13
11925;1
1037;3
1035;8
11928;4
3697;4
3696;62
6724;5
3698;5
6727;1
19897;1
1054;1
11929;1
2386;34
1052;9
1053;12
1050;2
1051;2
11933;2
1049;28
11934;2
1046;5
5405;1
11930;1
5420;2
5421;2
19069;2
19062;2
19063;4
1061;3
2392;3
2393;1
2391;1
1059;6
1057;1
5413;1
6745;4
5415;3
12437;1
6748;24
12435;1
12434;1
20069;1
20066;1
5430;9
1076;12
1072;2
19070;2
1069;1
2398;6
5427;2
6770;2
4110;2
6773;1
19045;2
4113;1
22695;1
1081;21
1078;1
6767;9
6769;1
4107;5
9811;2
5452;2
4124;3
5455;2
1096;2
19053;1
1097;1
1092;1
1093;1
9809;1
6777;3
5445;1
6778;1
9808;1
4130;1
4133;1
9821;2
9820;1
4135;11
4134;2
6797;4
21341;1
4128;5
4129;2
4140;2
9832;1
4143;6
9830;1
4145;1
201;9
200;8
9826;1
9825;1
209;16
9824;2
4139;2
9828;1
9827;1
4151;9
4152;2
4155;14
5486;17
8512;2
4157;7
8511;1
4156;7
8510;3
5487;7
210;1
211;1
216;4
215;9
4148;2
217;1
4147;1
9835;1
8504;1
9834;1
4149;1
8503;1
4162;3
20005;1
9850;1
4164;1
20003;1
4166;5
8524;1
5498;12
8521;1
9852;2
225;7
4159;6
4158;9
9847;1
8514;1
9862;1
8531;12
8535;1
8534;1
4179;1
4178;13
9863;1
8532;2
4170;2
8528;1
9858;1
8527;1
4169;1
8526;1
12398;1
8525;1
12397;2
8542;1
9873;2
8541;1
8540;1
9870;1
4188;1
8546;1
9876;1
8545;2
8544;5
1909;1
8543;1
9874;1
4182;1
4181;1
248;10
1906;3
8539;1
1907;1
8538;6
1904;33
1905;4
8536;1
1902;2
1903;35
1901;1
9884;2
9882;4
8557;2
8556;1
1919;2
8555;3
8554;1
4191;3
8549;1
8548;1
1914;2
9895;1
9892;1
8561;1
9899;1
8566;1
9897;1
12383;1
8565;1
261;71
8560;1
1920;3
1921;1
266;74
1927;1
9889;1
8558;1
1924;1
1922;2
8574;1
8572;4
8579;3
8578;6
8576;1
272;51
8570;1
273;8
1931;1
275;12
1930;6
1937;26
1938;5
8569;1
1935;1
1936;1
1933;1
1934;1
8585;1
8584;2
8589;1
8588;3
8587;2
8582;1
8580;4
1943;1
1940;1
1941;1
1949;1
1946;3
1947;5
1944;1
1945;2
8597;1
8599;1
8598;1
8593;1
8592;2
8590;1
1954;1
1959;1
12337;1
1955;11
1956;1
12341;3
12340;1
1965;2
1962;1
1963;1
1960;2
12344;1
12349;1
1966;1
20852;1
1976;1
1973;1
11902;1
11905;1
1977;1
1978;1
1990;6
1982;1
11916;1
1988;7
1989;3
1997;2
1998;1
1995;1
1996;1
1993;5
1991;1
20828;1
1992;5
9015;5
9013;1
9012;1
9018;12
9017;1
9029;1
9028;1
9027;2
9021;1
3718;27
3717;46
3719;10
3711;7
9037;2
9038;1
20825;1
20823;1
3726;4
3729;4
3720;1
3725;2
9048;1
9047;1
9046;1
9045;4
9049;1
9043;1
9041;1
3730;4
3731;1
3734;5
2408;13
3733;2
2409;10
3736;4
2407;12
3735;2
9056;1
9051;1
9054;1
3748;3
3747;4
21421;1
9067;2
3761;1
9065;2
9064;2
2424;1
3752;3
3753;6
20103;1
9079;1
9071;1
22762;1
22761;1
21439;2
1104;1
2435;2
1103;7
2434;15
2432;1
3763;7
3764;73
3781;1
3780;1
3783;1
3782;2
1120;1
1121;1
2452;3
9082;1
9081;1
1117;2
1118;1
2449;2
1115;6
1116;2
9080;1
1114;4
3774;1
3776;4
6800;3
3777;1
3779;2
1131;1
1132;1
1130;8
2459;17
1129;13
2458;2
2455;12
2456;5
1122;1
1123;8
3785;1
3786;1
3789;15
3788;3
1141;5
2472;2
2470;7
6828;1
1135;8
1134;3
3796;18
3798;13
6824;3
22725;1
6841;2
1154;169
1151;2
2483;1
1150;6
2481;1
6839;1
1149;1
2475;1
2476;1
6832;5
6833;1
5502;5
6834;1
6835;1
6852;1
5520;1
1162;1
1161;2
2490;3
1157;1
1155;1
1156;1
6843;4
6844;4
6846;1
22704;1
5530;2
5532;2
4200;7
1175;1
1173;8
1168;4
2499;2
2497;5
2498;10
6856;2
12550;1
4212;1
4211;4
1187;1
1184;2
1185;2
1182;6
1183;1
1180;43
1181;1
12559;2
1177;8
12554;1
4202;2
5533;6
5552;2
12561;1
19199;1
5551;3
5553;4
1198;7
1193;14
1191;4
1192;159
1189;1
5545;3
4213;1
9902;1
9901;1
12563;1
9900;1
6878;1
9906;1
19169;1
6890;1
5561;3
9921;2
9920;3
6894;1
21483;1
20152;1
19167;1
21484;1
19161;1
19162;1
19160;1
9919;1
1199;3
12532;1
21481;1
9912;1
6889;1
9918;1
9916;1
9915;2
12533;1
21499;1
9932;3
8601;1
21496;1
9931;5
5573;3
8600;2
21497;1
19179;4
21495;3
19172;2
19170;1
19171;1
301;10
20161;1
12543;1
9924;1
305;1
4238;3
9923;2
21490;1
21467;1
19147;1
5580;4
19148;1
19149;1
20135;1
9943;1
9942;3
19144;2
5584;1
19146;1
19140;2
20139;2
12515;1
12519;1
8605;1
12510;1
8602;3
8609;1
12514;1
8607;1
8606;1
12511;1
4262;9
8623;1
5598;1
8620;1
19157;1
19150;1
19151;1
19152;1
19153;2
12521;2
9946;2
12520;1
9945;6
8614;1
9944;1
8613;4
12524;1
12523;7
12522;1
8630;1
19127;1
4273;1
19122;1
9963;3
19123;1
331;6
333;5
339;44
8627;1
338;10
8625;1
8629;1
8628;1
9972;1
20125;1
20126;1
4285;7
4284;5
4286;1
21453;1
19133;1
19134;1
9973;1
12507;1
344;238
343;3
346;19
345;12
12509;1
347;19
12508;1
349;14
9967;2
8639;1
8652;1
9982;1
9981;1
4299;2
350;17
9978;1
9977;2
8660;2
6002;1
8666;1
18;24
17;38
6005;2
19;15
21;33
20;2
8678;1
29;31
12493;1
12492;1
32;28
6020;1
6021;1
33;3
6023;2
6024;1
6025;1
39;23
382;6
381;1
383;29
386;1
388;2
41;82
45;12
49;4
12473;1
12472;1
6037;1
20097;1
6038;1
8697;1
390;1
8691;1
397;8
12477;1
52;4
20091;2
51;1
20092;1
53;39
20090;1
12480;2
57;14
59;50
6040;1
6041;1
6039;1
6058;2
19089;1
6059;1
20075;1
19085;1
6050;1
20071;1
20070;1
76;2
75;1
78;7
6064;1
77;61
6065;1
6066;1
79;48
6067;1
19099;3
19095;1
19098;1
19091;1
19092;1
19093;2
19094;2
20084;1
80;4
12465;1
20083;1
12469;1
89;11
6075;3
6076;1
6077;1
9101;1
6078;1
20978;1
20979;1
6072;1
6073;2
90;5
92;1
91;3
94;85
93;1
6086;7
9113;2
9118;1
20980;1
6080;2
20989;1
6081;1
6083;2
20988;1
20986;1
3803;5
3807;1
3809;1
9109;1
9108;1
3800;4
3802;2
6097;1
9124;2
6098;2
9128;9
9126;2
6093;2
9120;1
3815;2
3814;3
3816;16
3812;1
9136;1
9134;1
9133;1
9131;1
3829;13
3822;38
3823;4
9144;2
9149;3
9141;1
2503;22
3837;2
3836;4
2502;17
20927;1
3831;3
3835;1
2505;3
9156;1
9155;2
9154;1
9153;2
9152;1
3848;3
2515;4
3847;13
3849;1
20938;1
3840;10
3841;11
3844;1
2519;1
19955;1
19956;4
3859;3
2526;13
2523;2
3851;6
3857;2
3870;17
1205;7
1206;1
3869;10
1202;3
2531;2
3862;1
3864;2
1209;13
1207;6
19934;1
9188;1
3880;13
9181;1
9187;1
9186;2
1216;1
6905;1
2547;3
1217;8
2548;3
1215;1
1212;2
2543;85
1213;3
2544;9
1210;1
2542;7
3879;10
3891;1
3890;1
3893;1
3892;2
2561;4
1231;1
9191;1
9198;1
9197;1
9196;3
1227;8
1228;2
6917;1
2559;1
1225;3
2557;1
2555;8
3884;3
3886;9
3888;1
12602;1
12601;1
1229;3
3889;1
19203;1
19204;2
21520;1
2573;6
2570;14
1240;3
2571;3
21526;1
21524;1
1236;1
2567;1
1234;1
1235;1
1232;4
2564;2
3894;2
19207;1
19208;1
19209;1
19214;1
19215;1
1252;1
1253;1
1250;1
1251;2
1249;1
1248;4
1246;3
2577;5
1243;19
5605;8
5620;14
6950;5
1263;44
2594;1
2595;1
2592;2
2593;1
1260;1
2591;1
21505;1
1258;3
1259;3
1257;1
