<?xml version="1.0" encoding="UTF-8"?>Key;Name
21301;Müller, Adam Heinrich: Ueber König Friedrich II und die Natur, Würde und Bestimmung der Preussischen Monarchie
4970;Schlegel, August Wilhelm von: Ueber die Etruscischen Alterthümer (Bonn WS 1822/23)
21306;Von der Hagen, Friedrich Heinrich; Docen, Bernhard Joseph; Büsching, Johann Gustav; Hundeshagen, Bernhard (Hg.): Museum für altdeutsche Literatur und Kunst
3639;Mai, Angelo (Hg.): Julii Valerii res gestae Alexandri Macedonis translatae ex Aesopo Graeco ed. A.M.
11987;Pindarus: Olympia 12
2306;Schlegel, August Wilhelm von: Cours de littérature dramatique [Ü: Albertine Adrienne Necker]
4969;Schlegel, August Wilhelm von: Sankt Lukas sah ein Traumgesicht
2303;Schlegel, August Wilhelm von: Remarques sur un article de la gazette de Leipzick du 5 Octobre 1813 relatif au Prince de Suède
2301;Schlegel, August Wilhelm von: Proclamationen Sr. Königlichen Hoheit des Kronprinzen von Schweden [...]
2302;The Mirror of Fashion
4962;Schlegel, August Wilhelm von: Auserlesene Elegien des Propertius, in lateinischer Sprache (Bonn SS 1826)
3631;Schmeller, Johann Andreas (Hg.): Heliand oder die altsächsische Evangelien-Harmonie
11980;Ciampi, Sebastiano: Estratto delle osservazioni sopra la epitome di Dionisio d’Alicarnasso
3630;Schlegel, August Wilhelm von: An Herrn Professor Heeren in Göttingen
4961;Schlegel, August Wilhelm von: Geschichte des abendländischen römischen Reiches (Bonn 1829/30)
4964;Schlegel, August Wilhelm von: Ugolino und Ruggieri
3632;Bopp, Franz: Von den Wurzeln und Pronominen erster und zweiter Person
11982;Ciampi, Sebastiano: De usu linguæ Italicæ saltem a sæculo quinto r. s. Acroasis
4963;Schlegel, August Wilhelm von: Ueber die Nibelungen (Bonn WS 1831/32)
3635;Ulfilas: Ulphilae partium ab Angelo Majo [...]
11984;Ciampi, Sebastiano; Benvenuti, Baldassarre: Notizie della vita letteraria e degli scritti numismatici di Giorgio Viani
3634;Rask, Rasmus Kristian: (Friesische/Isländische? Sprachlehre)
4965;Schlegel, August Wilhelm von: Theorie der bildenden Künste (Bonn WS 1819/20)
4968;Schlegel, August Wilhelm von: Ave Maria
11986;Dandolo, Girolamo: All’autore delle osservazioncelle risposta del Co. G. A. Dandolo patrizio veneto
4967;Schlegel, August Wilhelm von: Vorlesungen über Theorie und Geschichte der bildenden Künste (Berlin 1827)
4980;Schlegel, August Wilhelm von: Ueber die Nibelungen (Bonn SS 1832)
4982;Schlegel, August Wilhelm von: Allgemeine Theorie und Geschichte der bildenden Künste (Bonn SS 1822)
4981;Schlegel, August Wilhelm von: Vorlesungen über philosophische Kunstlehre (Jena SS 1799)
21317;Rémusat, Abel: Mémoire sur la vie et les opinions de Lao-Tseu
21316;Rémusat, Abel: Mémoires sur les relations politiques des princes chrétiens, et particulièrement des rois de France avec les empereurs mongols
11998;Schiassi, Filippo: De Pateris Antiquorum ex schedis Jacopi Tatii Biancani
2317;Chamisso, Adelbert von: Peter Schlemihls wundersame Geschichte
11999;Inghirami, Francesco: Estratto del libro intitolato De Pateris Antiquorum con aggiunte di osservazioni e note
3;Heyne, Christian Gottlob: Ankündigung des Prorectorat-Wechsels [Ü: August Wilhelm von Schlegel]
2312;Werner, Friedrich Ludwig Zacharias: Eintritt in Italien
3642;Benecke, Georg Friedrich, Lachmann, Karl (Hg.): Iwein, der Ritter mit dem Lewen
11990;Ciampi, Sebastiano: Feriae Varsavienses
4973;Schlegel, August Wilhelm von: Theorie und allgemeine Geschichte der bildenden Künste (Bonn SS 1840)
