<?xml version="1.0" encoding="UTF-8"?>Key;Name
19348;Peter Metzler (Weinhandel in Frankfurt a. M.)
20218;Kaiserlich-Königliches Hof-Burgtheater (Wien)
10535;Irren-Heil-Anstalt zu Siegburg
2425;Treuttel et Würtz (Straßburg)
5930;Musée du Louvre
10532;Provinzialständische Heil- und Pflege-Anstalt zu Hildesheim
10533;Königliches Ober-Schulcollegium (Hannover)
11864;Longman, Hurst, Rees &amp;amp; Co. (London)
12831;Regierungsbezirk Trier
21430;Kanton Bern. Großer Rat
12969;Geological Society (London)
12968;Britische Regierung
11878;London Theatre
12847;Regierungsbezirk Koblenz
11759;I. M. Gellers Söhne (Braunschweig)
10428;Lese- und Erholungs-Gesellschaft (Bonn)
11519;Henry &amp;amp; Cohen (Bonn)
10541;Remington &amp;amp; Co. (Bombay)
11752;Bayern. Bayerische Staatsregierung
11994;Kingsbury, Parbury and Allen (1822-1827)
10542;König &amp;amp; Comp. (Hannover)
6913;Orden de Santiago de la Espada
19565;C. L. Hirschfeld (Leipzig)
19687;Fleischmannische Buchhandlung (München)
19205;Goll und Söhne (Frankfurt am Main)
21646;Kloster Werden. Bibliothek
12815;Thales, Milesius
2446;Cazenove &amp;amp; Co. (London)
11729;L. F. Rieger&amp;#039;sche Buchhandlung (Ad. Becher) (Stuttgart)
5956;Königliche Hof- und Centralbibliothek zu München
10510;Königliches Dom-Gymnasium zu Verden
5958;Akademie der Bildenden Künste München
10511;Universitätsbibliothek Jena
5957;Bayerische Akademie der Wissenschaften
19697;J. Engelmann (Heidelberg)
19457;Rittner &amp;amp; Goupil (Paris)
5970;Degensche Buchhandlung (Wien)
11613;Arnoldische Buchhandlung (Dresden)
5608;Dieterich’sche Buchhandlung (Göttingen)
10407;Senn, Guebhard &amp;amp; Co. (Livorno)
10408;Rennes et Co. (Lyon)
10523;Hamburg. Polizei
19301;Imperatorskaja Publičnaja Biblioteka
19544;Karl Winterʼs Universitätsbuchhandlung
5981;Öffentliches Gymnasium der Stiftung Theresianische Akademie
19300;Guyot (Guiot?) et Co., Bern
20658;Sächsische Staatskapelle Dresden
6708;Landesschule Pforta
4529;Voss und Compagnie (Leipzig)
11825;Reale Accademia di Belle Arti (Venedig)
12911;Royal Academy of Arts
19305;Literary Union Club (Clarence Club)
6825;Hamburger Stadttheater
5859;Buchhandlung Eduard Weber (Bonn)
6705;Oelsisches Corps
6948;(Frauen-Verein, Bonn)
19308;W. H. Allen &amp;amp; Co. (est. 1835)
19796;Athenée de Paris
20543;Paul Gotthelf Kummer (Leipzig)
5871;Sala Tarone &amp;amp; Co
5991;Akademie der Wissenschaften (Wien)
6720;Académie des Beaux-Arts (Paris)
20308;Frankreich. Cour dʼAppel (Colmar)
6718;Königliche Kunst-Akademie (Düsseldorf)
11954;University of Glasgow
12924;Philological Society (London)
11955;The University of Edinburgh
12923;Pall Mall Libraries
10506;J. J. Burgdorfer (Bern)
11959;De Kleine Komedie (Théâtre Français sur l’Erwtemarkt, Amsterdam)
12927;Board of Commissioners for the Affairs of India (London)
12926;Inner Temple (London)
5863;Treuttel &amp;amp; Würtz &amp;amp; Richter (London)
6711;Universitätsbibliothek Bonn
6712;Königlich Sächsisches Hoftheater zu Dresden
6713;Königliche Bibliothek zu Berlin
5988;Biblioteca Apostolica Vaticana
6730;Ägyptisches Museum Berlin
6731;Wissenschaftlicher Kunstverein (Berlin)
11918;France. Ministère de la Justice et des Cultes
20517;Frankreich. Administration des Contributions Indirectes
21966;Church Missionary Society
6729;Königliches Nationaltheater (Berlin)
11806;Biblioteca Capitolare (Monza)
6721;Königliche Akademie der Wissenschaften (Berlin)
5874;Königliche Öffentliche Bibliothek (Dresden)
6604;Städtische Höhere Töchterschule (Harburg, Elbe)
6726;Societät für Wissenschaftliche Kritik (Berlin)
6605;Vandenhoeck &amp;amp; Ruprecht
6607;Königliches Pädagogium zu Ilfeld
6980;Diözese Saint Davidʼs (Pembrokeshire)
19894;France. Parlement français
21738;Librairie Grecque-Latine-Allemande (Paris)
20525;Becher &amp;amp; Müller (Stuttgart)
21856;Jugend-Vereinsorden (?)
11813;Molini (Florenz)
11814;Piatti (Florenz)
12900;Royal Geographical Society
8913;Bankhaus Mayer Amschel von Rothschild &amp;amp; Söhne
6732;Österreich. Staatskanzlei
5886;Späthensche Druckerei
6975;Josiah Wedgwood &amp;amp; Sons Ltd
6734;King’s College London
6735;Verein zur Erweiterung und Verschönerung der Stadt Bonn
6979;(Schachspiel-Gesellschaft, Bonn)
6617;Hofwil (Schulen)
5528;Compagnie Française pour le Commerce des Indes Orientales
8914;Royal Society (London)
8930;Mainzer Jakobinerklub
5661;Sellschopp &amp;amp; Huart (Amsterdam)
19184;Scherer und Tingerlin
19185;Veuve Bénoit
22478;Collège de Paris
19180;Imprimerie J. A. Latour (Liège)
19181;Dambray Fils
12319;Staat Hannover. Konsistorium (Hannover)
6985;Haude und Spenersche Verlagsbuchhandlung
12675;Königlich-Hannoversches Hoftheater
14610;Raleigh Club (London)
12794;Camesinaische Buchhandlung (Wien)
6987;Preußen. Konsistorium (Köln)
6989;Konsistorium (Koblenz)
20290;Charterhouse
8926;Giles, Son &amp;amp; Sidgwick (London)
12556;Trinity College Cambridge
8925;Bankhaus Cahn (Bonn)
6640;Université (Louvain)
14628;Hertford College
14627;Great Britain. Army.
6996;Königliche und Universitätsbibliothek Breslau
6512;Natione Germanica apud Bononiam
8812;Brockhaus &amp;amp; Avenarius (Paris)
6635;France. Ministère des affaires étrangères
10387;Bürgerschule Siegburg
6636;Deutscher Bund. Bundestag
10388;Erziehungs- und Unterrichtsanstalt der Gebrüder Schumacher (Köln)
6637;Imprimerie Royale (Paris)
8939;Lithographische Anstalt (Koblenz)
8938;Lithographische Anstalt (Köln)
6639;Julius-Maximilians-Universität Würzburg
8816;Verein für Beethovens Denkmal (Bonn)
12445;Jesuitenkolleg (Baden-Baden)
12327;Ritschersche Buchhandlung
20156;Konsistorium (Breslau)
5440;Preußen. Ministerium der Geistlichen, Unterrichts- und Medizinalangelegenheiten
8953;Bibliothèque Publique (Genf)
6531;British Museum
6411;Herzogliche Bibliothek (Weimar)
8830;Theater Bonn
6774;Université de Paris
6775;Großherzogliches Gymnasium (Mainz)
20153;Königliches Katholisches Gymnasium (Oppeln)
10471;Verein von Altertumsfreunden im Rheinlande
22454;Université (Paris). Faculté de Médicine
20271;Katholische Kirche. Erzdiözese Köln
5435;Société Asiatique
11441;Bataviaasch Genootschap van Kunsten en Wetenschappen
11564;Mendelssohn &amp;amp; Co.
8822;Stadtbibliothek Bern
11565;Literary Society (Bombay)
6406;Preußen. Regierung
14833;Bishop’s College (Kalkutta)
11689;Kungliga Biblioteket Stockholm
6660;British Museum (London). Library
6661;East India Company (London)
21257;Haus-, Hof- und Staatsarchiv
6662;East India Company (London). Library
6784;Akademie der Künste (Berlin)
6663;Universität Breslau
20163;Russische Gesandtschaft (London)
6665;Sanskrit College (Kalkutta)
22463;Collège Charlemagne
22465;Bibliothèque Nationale de France. Département des Monnaies, Medailles et Antiques
19054;Kongelige Norske Videnskabers Selskab
22464;Musée de la Monnaie
19291;Somerset House (London)
12428;Rijksuniversiteit Groningen
6776;Beethoven-Gymnasium (Bonn)
11452;Hamburger Bank
6898;Messe Frankfurt
8713;Rijksuniversiteit Leiden
6779;Collège Royal Français (Berlin)
20160;Königliche Regierungs-Buchhandlung (Stralsund)
10487;F. A. Brockhaus (Leipzig)
9807;Königlich Preußische Akademische Kunst- und Buchhandlung (Berlin)
11578;Johann Friedrich Gleditsch (Leipzig)
14601;Académie de Genève
12544;Literarische Anstalt (J. Rütten) (Frankfurt, Main)
8837;Weinhandlung Pleunissen Köln
6670;University of Oxford
6792;Académie Française
21223;Société Libre des Sciences et Arts de Strasbourg
6671;University of Cambridge
21342;Bibliothèque de l&amp;#039;Arsenal
6794;Collège de France
6673;East India Company College (Hailey, Hertfordshire; Haileybury and Imperial Service College)
5585;Schlesinger’sche Buch- und Musikhandlung (Berlin)
6674;Ernst-Moritz-Arndt-Universität Greifswald
20133;Istituto di Corrispondenza Archeologica
6432;Teylers Godgeleerd Genootschap (Haarlem)
19266;Universitätsbibliothek Helmstedt
8851;Staatliche Museen zu Berlin. Antikensammlung
5586;Weidmannische Buchhandlung (Leipzig)
21349;Benediktiner-Stift Maria-Einsiedeln
11549;Société Ethnologique (Paris)
5578;Bankhaus Gebrüder Schickler (Berlin)
12631;Gelehrtenschule (Bremen)
6666;Sanskrit College (Kalkutta). Library
6667;Asiatic Society (Kalkutta). Library
8967;New London College
9935;Nicolaische Buchhandlung
12992;Drummond Bank
6668;France. Ministère des affaires ecclésiastiques et de l’instruction publique
6789;G. J. Göschen’sche Verlagsbuchhandlung
6669;Great Britain. Parliament
5579;J. G. Fleischerische Buchhandlung
8965;Koller &amp;amp; Cahlmann (London)
9819;Kloster Neuzelle
11543;La Madeleine (Paris)
11664;Treuttel et Würtz (Firma)
