Key;Anzahl
3640;5
2305;1
3638;17
11988;2
2304;1
2309;232
11983;1
2307;6
11985;1
3637;13
3636;9
21314;1
3651;17
3650;1
1;1
5;25
4;381
2313;1
2310;5
6;7
9;205
8;901
3641;8
11991;1
3643;2
11993;1
11995;1
2318;3
3648;3
11996;1
4990;5
4992;3
3661;1
2327;44
11965;1
2325;40
11967;1
11968;1
2323;9
11969;1
2321;3
3653;14
4984;2
3652;6
3655;5
11960;1
4988;2
11961;1
11962;1
11963;1
4989;12
3671;169
3670;34
3673;1
2341;1
1011;11
22620;1
11977;1
11978;2
1006;4
11979;1
1003;1
1004;2
1002;3
3663;2
11970;1
11971;1
4996;3
11973;1
4998;1
11974;1
3669;70
11975;2
3680;3
3681;1
3684;3
1021;11
2352;8
1022;2
2353;16
1020;12
6707;2
11943;2
1019;3
11944;1
11945;1
6709;1
11946;2
1014;10
11947;1
2346;41
3675;1
6700;1
3677;4
3676;2
6702;1
6703;1
3678;10
11940;6
11941;5
6706;2
2363;1
2361;1
1029;16
2356;6
1023;2
2354;4
1024;12
3688;1
6715;1
11951;1
11952;1
20874;1
1043;4
2375;81
11919;1
1041;2
2370;5
20875;2
11923;1
2367;3
2368;14
1034;19
11927;1
2366;1
6722;2
6723;1
6725;1
6728;1
19896;3
6741;4
2385;55
1055;3
2383;13
2384;1
2380;2
11932;3
5409;10
11935;2
2378;7
11936;1
1048;1
11937;1
2379;1
1045;44
2376;89
11938;1
2377;135
5402;1
5401;24
5404;7
5403;1
5406;5
5408;1
11931;1
21388;1
21389;1
21387;1
6751;1
21384;2
21385;3
2397;5
2394;2
2395;1
19065;2
2390;1
2389;7
1056;6
2387;3
2388;1
12433;1
12432;1
5414;3
12436;1
5416;1
5419;1
5418;3
21399;1
21397;1
21398;2
20064;2
20065;1
5432;2
21396;1
1077;29
1075;1
2399;1
5423;2
6756;1
5426;2
21391;3
6757;1
5425;3
21392;2
6758;1
6759;1
21390;2
5429;1
9800;2
6772;1
21364;2
19046;1
21362;1
5444;1
21363;1
1088;3
22696;2
22698;1
22697;1
22699;1
1079;1
21360;3
21361;2
6768;3
1090;1
1091;1
6780;1
5451;2
5450;5
5453;8
4122;4
9810;3
19056;2
6785;1
5454;6
1098;34
1094;67
12429;1
12427;1
1089;1
4115;1
9804;1
4114;10
9803;1
4117;25
5448;1
9801;1
4118;1
5449;1
5460;3
5464;2
5463;7
5466;9
21340;1
5465;27
6787;1
5457;1
9814;1
6788;1
5456;20
9813;1
5459;11
9812;1
5458;1
5471;1
5470;2
19039;1
9833;2
8501;1
9831;1
8500;2
21359;3
20029;1
202;28
204;5
207;1
