<?xml version="1.0" encoding="UTF-8"?>Key;Anzahl
9189;1
9184;1
10414;3
4727;2
10417;1
12838;1
12832;1
1218;21
9199;1
9194;2
2320;2
9193;5
21318;1
12848;1
2;224
2554;1
2552;79
10420;1
21762;1
21761;1
11966;1
1476;1
814;6
4985;1
3656;2
6926;2
21775;1
1010;26
11734;1
5607;1
5609;1
1244;6
2575;6
11972;1
4999;1
6951;1
21746;3
1018;25
2349;3
2106;4
1256;3
2345;19
11948;1
11949;1
3674;2
6943;1
6704;1
21754;1
19674;1
6962;1
19670;1
21757;1
21758;1
841;2
5622;1
6955;1
6959;1
21721;1
5400;1
3459;4
11926;1
1276;1
3455;4
614;22
856;1
19409;2
6965;1
5879;2
19653;1
21971;1
6981;3
5411;1
5410;1
3465;3
11939;2
8915;1
6990;2
4331;6
6750;3
21386;1
4330;1
6510;3
10492;1
5422;2
2396;10
874;1
633;31
10494;1
5412;2
5896;1
6504;2
5417;9
10014;1
11588;1
2164;6
887;1133
3487;2
11594;1
11595;1
11596;1
11597;1
409;1
8936;2
21368;3
1080;5
21369;1
21366;1
21367;1
6530;11
5442;1
21365;2
2172;1
896;2
412;3
895;6
411;3
898;8
897;46
416;14
14831;1
6524;2
10474;1
5678;2
5210;1
5696;1
665;22
5446;4
4356;9
9802;1
6793;4
6551;1
10216;1
11789;2
10218;1
673;6
437;1
10212;1
11546;2
5473;1
6320;3
5476;7
22442;1
440;25
10228;1
14827;1
10229;3
6314;2
12642;1
6315;3
10220;2
12641;1
6558;7
12640;1
5227;8
12888;1
10224;2
12643;1
4395;1
5000;1
8997;1
6334;5
452;21
10436;3
697;6
12618;1
5478;1
219;33
10431;4
5238;4
8761;1
5253;23
5255;1
5257;5
8522;2
6588;2
21572;1
8763;3
11778;1
14805;1
227;58
226;95
229;55
228;418
5489;1
10442;1
10443;1
14802;1
10444;1
8519;2
10203;2
9607;1
10446;1
8773;1
6353;2
12396;1
5026;4
5268;1
6357;1
230;44
232;3
233;7
236;21
5258;1
9630;1
1908;3
241;18
489;4
5028;2
9868;1
6372;3
5284;1
6373;1
6132;1
5285;7
12130;1
5048;34
5289;1
5047;1
490;5
250;1
5280;4
252;14
251;5
259;7
5039;5
12135;1
12136;1
5053;5
5296;12
6387;3
8567;1
5051;2
262;4
