Key;Name
21542;Bernburg (Saale)
9189;Rieseby
21540;Rabenstein/Fläming
21541;Sondershausen
21309;Crans (Jura)
9184;Mantua
10414;Remagen, Apollinarisberg
4727;Leopoldshafen
10417;Dransdorf
12838;Reading
12832;Ware
1218;Konstantinopel
21553;Zewitz
9199;Castel Gandolfo
20221;Dülken
21552;Köthen (Anhalt)
21310;Moudon
9194;Palenque
2320;Aruküla (Arroküll)
9193;Ehrenbreitstein
21318;Nagasaki
21315;Jegenstorf
12848;Minden (Westf)
2314;Plymouth
2315;Alençon
2;Göttingen
2554;Lambton, Tyne and Wear
2552;Kalkutta
10420;Bornheim (Rhein-Sieg-Kreis)
6914;Santiago de Compostela
21762;Villa Mellini (Rom)
21761;Monte Mario (Rom)
11966;Bloemendaal
2326;Kairo
1476;Pirna
814;Livorno
4985;Nymphenburg
3656;Freienwalde in Pommern
6926;Bork (Selm)
21775;Colli Albani
21533;Grossen (?)
1010;Prag
21535;Roncesvalles
12826;Jedburgh (Großbritannien)
11734;Rouen
2339;Commugny
5607;Heilanstalt Winnenthal
10889;Braunau
2578;Ellora
5609;Waiblingen
1244;Moskau
2575;Siegburg
11972;’s-Graveland
4999;Zittau
6951;Wolmirstedt
21508;Pamplona
21746;Hippodrom Konstantinopel
21502;Friedrichsort
1018;Breslau
2349;Speyer
3439;Paris-Passy
2106;Aarau
2345;Wiesbaden
1256;Yverdon-les-Bains
11948;Wismar
11949;Nigtevecht
3674;Schloss Monbijou (Berlin)
6943;Scheveningen
6704;Oels
21754;Veji
6962;Bökendorf
19674;Kastorf
19670;Aranjuez
21757;Civita Castellana
21758;Isola Farnese (Rom)
21514;Trachenberg
841;Canossa
5622;Essen
6955;Tangerhütte-Briest
6959;Burg Rheineck (Bad Breisig- Rheineck)
21721;Enns-Lorch
5400;Hamburg-Wilstorf
3459;Ilfeld
11926;Krefeld
1276;Peking
3455;Neuwied
856;Angers
614;Tübingen
19409;Mengeringhausen
6965;Büren (Kreis Paderborn)
4303;Reims
19646;Dennewitz
5879;Rümligen
19406;Günzburg
19653;Ziesar
21971;Etiolles
6981;Strand (London)
5411;Hanau
5410;Arnheim
3465;Sankt Apollinaris (Remagen)
11939;Oosterduin (Haarlem)
4313;Bad Camberg
5889;Schloss Laufen (Laufen-Uhwiesen)
8915;Boulogne-sur-Mer
21146;Marienburg (Malbork)
6990;Oppeln
20058;Neuruppin
4331;Bad Lauchstädt
